layer,method,auc,aoc
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.0.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,GradCAM,0.6549465277745046,0.6323963131380174
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,Gradient,0.6010993712432184,0.5495947486990304
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,LRP-eps,0.4123825820307031,0.7082253624658346
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,LRP-gamma,0.4038328323724725,0.4004818527572596
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,LRP-zplus,0.44400390502751974,0.6879194705029896
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,activation,0.40830289181158896,0.4561388948274866
instance_perturbation_module.backbone.ERBlock_2.1.conv1.rbr_dense.conv,random,0.33761354065631866,0.42527750707726036
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,GradCAM,0.7402009946783273,0.738978100990221
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,Gradient,0.7394609654121531,0.7107701867277769
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,LRP-eps,0.5179747845311115,0.7469909827046695
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,LRP-gamma,0.3503136705338267,0.38597303074671174
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,LRP-zplus,0.8411408309018557,0.4095168979117895
instance_perturbation_module.backbone.ERBlock_6.0.rbr_dense.conv,activation,0.8492166135078849,0.7607304264973073
