layer,method,auc,aoc
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,GradCAM,0.7479306335607541,0.5508703430051831
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,Gradient,0.7555237941492683,0.5376527478928929
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,LRP-eps,0.18866015674917477,0.47630153319222773
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,LRP-gamma,0.14662505884633842,0.0903036814237673
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,LRP-zplus,0.879136891719127,0.8689108974831158
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,activation,0.7803102765885754,0.7286253766605489
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_1x1.conv,random,0.39689958381504065,0.39904166501301264
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,GradCAM,0.6573466448408262,0.8431100970338612
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,Gradient,0.6771900227064965,0.8637994174882343
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,LRP-eps,0.562879473845007,0.5704914560688253
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,LRP-gamma,0.49192999861004677,0.4951281320203884
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,LRP-zplus,0.6572660576042832,0.7354100518786836
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,activation,0.5374689679646858,0.7645817836901828
instance_perturbation_module.backbone.ERBlock_3.1.block.2.rbr_1x1.conv,random,0.37920929792580393,0.5541690204194262
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,GradCAM,0.3568868520093295,0.7706524791626996
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,Gradient,0.28680284143448004,0.7590547080954686
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,LRP-eps,0.2159174607391373,0.7878838202102177
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,LRP-gamma,0.5942947402006643,0.6361425292976136
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,LRP-zplus,0.896095482065001,0.23774721757207026
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,activation,0.6127921689232537,0.4467135263372334
instance_perturbation_module.backbone.ERBlock_5.1.block.0.rbr_1x1.conv,random,0.5527966557032633,0.3168781265163884
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,GradCAM,0.7321773069286825,0.7237794306793767
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,Gradient,0.7482356912636055,0.7367885801830669
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,LRP-eps,0.4927571217506476,0.5281606125967128
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,LRP-gamma,0.49838644383521197,0.5813772737845077
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,LRP-zplus,0.6945833638223804,0.7514106239103593
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,activation,0.6618179827600438,0.7602071774879996
instance_perturbation_module.neck.Rep_p3.block.1.rbr_1x1.conv,random,0.4198197627998817,0.7336497567228233
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,GradCAM,0.8269900520280193,0.715514278396189
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,Gradient,0.8353038094841296,0.7588154378430726
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,LRP-eps,0.1585016152385031,0.468136017000695
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,LRP-gamma,0.24528563320389432,0.6267497312450836
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,LRP-zplus,0.43874893992809966,0.5378509402947128
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,activation,0.43647681197938465,0.43344004613107157
instance_perturbation_module.neck.Bifusion0.cv1.block.conv,random,0.5507406332585683,0.4436434374963518
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,GradCAM,0.7978240764528318,0.7889805910277543
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,Gradient,0.7840640026194166,0.8037606165171256
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,LRP-eps,0.5201141740682387,0.7524728828543331
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,LRP-gamma,0.47755093502938467,0.5066919067450818
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,LRP-zplus,0.7249589456905804,0.48849517581501856
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,activation,0.716721224553636,0.5663612174893373
instance_perturbation_module.backbone.ERBlock_4.0.rbr_1x1.conv,random,0.3633715992893512,0.4086021664653863
